crew_id,name,job,tmdbId
1059,Neil Canton,Producer,11517
3805,Jon Peters,Producer,11517
5174,Barry Sonnenfeld,Director,8012
518,Danny DeVito,Producer,8012
5381,Michael Shamberg,Producer,8012
5382,Stacey Sher,Producer,8012
15148,Jon Amiel,Director,1710
376,Arnon Milchan,Producer,1710
18679,Mark Tarlov,Producer,1710
7187,Richard Donner,Director,9691
7187,Richard Donner,Producer,9691
3028,Bruce A. Evans,Producer,9691
3029,Raynold Gideon,Producer,9691
29525,Andrew Lazar,Producer,9691
1091,Joel Silver,Producer,9691
22816,Jim Van Wyck,Producer,9691
56349,Victor Salva,Director,12665
4504,Roger Birnbaum,Producer,12665
66723,Daniel Grodnik,Producer,12665
6111,Mike Figgis,Director,451
6113,Lila Cazès,Producer,451
6116,Annie Stewart,Producer,451
56710,Oliver Parker,Director,16420
15798,Lesli Linka Glatter,Director,9263
3416,Demi Moore,Producer,9263
551,Suzanne Todd,Producer,9263
7017,Roger Michell,Director,17015
1492126,Fiona Finlay,Producer,17015
2419,Jean-Pierre Jeunet,Director,902
13828,Félicie Dutertre,Producer,902
13829,María Victoria Hebrero,Producer,902
13830,José Luis Lopez,Producer,902
13831,Arlette Mas,Producer,902
2402,Claudie Ossard,Producer,902
13834,François Rabes,Producer,902
13680,Marc Caro,Director,902
607,Zhang Yimou,Director,37557
770,Jerry Bruckheimer,Producer,9909
771,Don Simpson,Producer,9909
60295,John N. Smith,Director,9909
280,Terry Gilliam,Director,63
282,Charles Roven,Producer,63
2352,Jean-Jacques Annaud,Director,78802
2352,Jean-Jacques Annaud,Producer,78802
1841487,Antoine Compin,Producer,78802
1841488,Charis Horton,Producer,78802
20629,George Miller,Producer,9598
11651,Doug Mitchell,Producer,9598
58137,Chris Noonan,Director,9598
58140,Bill Miller,Producer,9598
12952,Christopher Hampton,Director,47018
39812,John McGrath,Producer,47018
1083635,Ronald Shedlo,Producer,47018
504,Tim Robbins,Director,687
504,Tim Robbins,Producer,687
3264,Rudd Simmons,Producer,687
4446,Jon Kilik,Producer,687
77867,Stephen Low,Director,139405
77867,Stephen Low,Producer,139405
17167,Andy Tennant,Director,33689
57434,Amy Heckerling,Director,9603
1460574,Robert Lawrence,Producer,9603
16730,Darrell James Roodt,Director,34615
33315,Richard Loncraine,Director,31174
11447,Albert Hughes,Director,11443
11447,Albert Hughes,Producer,11443
11448,Allen Hughes,Director,11443
11448,Allen Hughes,Producer,11443
52405,Michael Hoffman,Director,35196
150352,Sarah Blackburn,Producer,35196
141474,Mark Bentley,Producer,35196
4014,Paul W.S. Anderson,Director,9312
43518,Lawrence Kasanoff,Producer,9312
57259,Lauri Apelian,Producer,9312
57260,Alison Savitch,Producer,9312
5216,Gus Van Sant,Director,577
7627,Laura Ziskin,Producer,577
7797,Leslie Morgan,Producer,577
7798,Sandy Isaac,Producer,577
3047,Jocelyn Moorhouse,Director,11861
28714,Sarah Pillsbury,Producer,11861
90559,Midge Sanford,Producer,11861
7467,David Fincher,Director,807
10764,Arnold Kopelson,Producer,807
12048,Phyllis Carlyle,Producer,807
65530,Mike Gabriel,Director,10530
65531,Eric Goldberg,Director,10530
65533,James Pentecost,Producer,10530
55439,Patricia Rozema,Director,8391
55660,Barbara Tranter,Producer,8391
9032,Bryan Singer,Director,629
9032,Bryan Singer,Producer,629
9034,Michael McDonnell,Producer,629
100505,Richard W. Munchkin,Director,117164
1243,Woody Allen,Director,11448
3658,Robert Greenhut,Producer,11448
128107,Gianni Amelio,Director,49133
71338,Holly Goldberg Sloan,Director,26441
140354,Ulu Grosbard,Director,97406
30586,Robert Tinnell,Director,124057
1038,Jodie Foster,Director,9089
1038,Jodie Foster,Producer,9089
56947,Peggy Rajski,Producer,9089
28898,Michael Radford,Director,11010
32309,Mario Cecchi Gori,Producer,11010
57301,Vittorio Cecchi Gori,Producer,11010
67791,Gaetano Daniele,Producer,11010
38527,Robert Lepage,Director,99040
7908,Frank Oz,Director,11359
1246837,Jane Startz,Producer,11359
664,Frank Marshall,Producer,11359
19304,John Schlesinger,Director,17182
60065,Michael I. Levy,Producer,17182
18356,Stephen Herek,Director,2054
18389,Robert W. Cort,Producer,2054
9196,Ted Field,Producer,2054
21102,Michael Nolin,Producer,2054
45649,Paris Barclay,Director,10607
35696,Eric L. Gold,Producer,10607
35689,Keenen Ivory Wayans,Producer,10607
49361,Bill Bennett,Director,19760
57871,Bradley Jenkel,Producer,9536
51702,Brad Krevoy,Producer,9536
51703,Steven Stabler,Producer,9536
57870,Jason Bloom,Director,9536
69721,Farhad Mann,Director,11525
69723,Keith Fox,Producer,11525
64054,Edward Simons,Producer,11525
15890,James Foley,Director,40628
20718,Claude Berri,Producer,4482
35137,Josiane Balasko,Director,4482
37932,F. Gary Gray,Director,10634
11420,Gianni Nunnari,Producer,755
68802,Meir Teper,Producer,755
70850,Andrew Sipes,Director,11859
5656,Noah Baumbach,Director,28387
16862,Claude Lelouch,Director,48750
10296,Michael Goldenberg,Director,20927
18274,Michael Haley,Producer,20927
91046,Allan Mindel,Producer,20927
91047,Kim Moarefi,Producer,20927
91048,Denise Shaw,Producer,20927
91064,James Dearlove,Producer,20927
91154,Robert C. Albertell,Producer,20927
91156,Joan G. Bostwick,Producer,20927
91159,Lisann Gould,Producer,20927
91162,Heidi Herman,Producer,20927
91170,Debra Mintz,Producer,20927
91181,Adolfo Vasquez,Producer,20927
91182,Joe Vernon,Producer,20927
60206,Eric Yellin,Producer,20927
58712,Steve Miner,Director,36929
25735,Christian Duguay,Director,9102
56981,Franco Battista,Producer,9102
56982,Tom Berry,Producer,9102
1080309,Susanne Ofteringer,Director,124626
2228,Sean Penn,Director,27526
2228,Sean Penn,Producer,27526
98101,David Hamburger,Producer,27526
18069,Brian Gibson,Director,9623
18330,Rob Cowan,Producer,9623
11472,Irwin Winkler,Producer,9623
120229,Jafar Panahi,Director,46785
5501,Gary Fleder,Director,400
5505,Cary Woods,Producer,400
13496,Marleen Gorris,Director,880
13498,Gerard Cornelisse,Producer,880
13499,Hans de Weers,Producer,880
13500,Hans de Wolf,Producer,880
27771,Tim Reid,Director,146599
117075,Henry Jaglom,Director,188588
55038,Philip Haas,Director,8447
55039,Belinda Haas,Producer,8447
11381,Joyce Herlihy,Producer,8447
38082,Kerry Orent,Producer,8447
578,Ridley Scott,Director,10534
17398,Mimi Polk Gitlin,Producer,10534
27148,Rocky Lang,Producer,10534
29009,Ken Kwapis,Director,17414
58448,Penelope Spheeris,Director,13997
12840,John Badham,Director,2086
12840,John Badham,Producer,2086
6468,Nick Wechsler,Producer,61548
8975,Sam Waterston,Producer,61548
72624,John Duigan,Director,61548
3224,Stephen Frears,Director,9095
12954,Norma Heyman,Producer,9095
21643,Ned Tanen,Producer,9095
52033,Nancy Graham Tanen,Producer,9095
5140,Wes Craven,Director,12158
56189,Mark Lipsky,Producer,12158
776,Eddie Murphy,Producer,12158
34849,Ted Demme,Director,9283
35510,Bill Badalato,Producer,9208
11404,Terence Chang,Producer,9208
11401,John Woo,Director,9208
6048,Mark Gordon,Producer,9208
21983,Allison Lyon Segan,Producer,9208
11181,Kenneth Branagh,Director,40154
2406,Mathieu Kassovitz,Director,406
5425,Christophe Rossignon,Producer,406
5427,Alain Rocca,Producer,406
5428,Adeline Lecallier,Producer,406
92561,Nick Broomfield,Director,63076
92561,Nick Broomfield,Producer,63076
23213,Harold Becker,Director,11062
23213,Harold Becker,Producer,11062
5655,Wes Anderson,Director,13685
951099,Cynthia Hargrave,Producer,13685
15207,L.M. Kit Carson,Producer,13685
221695,Michael Lang,Producer,13685
21067,Polly Platt,Producer,13685
71555,Andrew Wilson,Producer,13685
1117322,Ray Zimmerman,Producer,13685
14692,Nick Castle,Director,47475
5398,Dino De Laurentiis,Producer,2045
19051,Martha De Laurentiis,Producer,2045
21053,John Dahl,Director,2045
17494,Dennis Dugan,Director,9614
29015,Robert Simonds,Producer,9614
190,Clint Eastwood,Director,688
190,Clint Eastwood,Producer,688
168769,Michael Maurer,Producer,688
347,Tom Rooker,Producer,688
18969,Doris Dörrie,Director,11907
38546,Gerd Huber,Producer,11907
70889,Renate Seefeldt,Producer,11907
65298,Brian Henson,Director,10874
7908,Frank Oz,Producer,10874
65298,Brian Henson,Producer,10874
64077,Robert Leacock,Director,89333
1234226,James Bruce,Director,96357
999644,Stephen David,Producer,96357
1770661,Charles Weinberger,Producer,96357
2461,Mel Gibson,Director,197
2461,Mel Gibson,Producer,197
2487,Bruce Davey,Producer,197
2488,"Alan Ladd, Jr.",Producer,197
151305,Dean Lopata,Producer,197
142285,Elisabeth Robinson,Producer,197
12432,Julia Phillips,Producer,103
12433,Michael Phillips,Producer,103
44916,Stanley Tong,Director,33542
46321,Barbie Tung,Producer,33542
23393,Barbet Schroeder,Director,43566
63127,Steve Clark-Hall,Producer,71754
79180,Christopher Zimmer,Producer,71754
165660,Mike Mahoney,Producer,71754
184475,Mort Ransen,Director,71754
184475,Mort Ransen,Producer,71754
1229486,Claudio Luca,Producer,71754
20849,Étienne Chatiliez,Director,43612
82293,Jon Blair,Director,51352
81020,Benjamin Ross,Director,16934
68185,Eric Schaeffer,Director,10324
12989,Andrew Davis,Director,78406
36147,Charles T. Kanganis,Director,55731
339,Brian Grazer,Producer,11066
68215,Reginald Hudlin,Director,11066
12453,Wong Kar-wai,Director,11104
57617,Jeffrey Lau,Producer,11104
1117959,Yi-kan Chan,Producer,11104
65314,Giuseppe Tornatore,Director,37975
104807,Rita Rusic,Producer,37975
17883,David O. Russell,Director,2074
21275,Dean Silvers,Producer,2074
16589,Peter MacDonald,Director,27793
1575783,Heinz Bibo,Producer,27793
32049,Dieter Geissler,Producer,27793
57241,Tim Hampton,Producer,27793
239321,Moufida Tlatli,Director,44284
1604799,Ahmed Baha Attia,Producer,44284
1315532,Richard Magnien,Producer,44284
93632,Michel Negroponte,Director,290157
122583,Bryan Gordon,Director,110972
41670,Rebecca Miller,Director,32622
234846,Ron Kastner,Producer,32622
125543,Michael Lindsay-Hogg,Director,73067
15175,William Friedkin,Director,11863
12288,Robert Evans,Producer,11863
114997,Ángel Muñiz,Director,55475
84445,Craig Baldwin,Director,124636
12920,David S. Ward,Director,9101
1077999,Mark Rappaport,Director,123360
1077999,Mark Rappaport,Producer,123360
31309,Hugh M. Hefner,Producer,5757
45382,Dirk Shafer,Director,5757
45384,Matt Keener,Producer,5757
93911,Terence Davies,Director,39428
1080311,Sandip Ray,Director,124639
9578,John Foreman,Producer,9302
18250,Jon Avnet,Director,9302
18250,Jon Avnet,Producer,9302
5342,Mike Nichols,Director,11000
5342,Mike Nichols,Producer,11000
1285121,Jakov Sedlar,Director,249882
12833,Edward Burns,Director,16388
12833,Edward Burns,Producer,16388
950276,Dick Fisher,Producer,16388
865,Michael Bay,Director,9737
56828,Christopher Cain,Director,30765
65390,Scott Kalvert,Director,10474
65393,Liz Heller,Producer,10474
38800,John Bard Manulis,Producer,10474
10723,Mike Newell,Director,22279
108641,Hilary Dwyer,Producer,22279
996989,Philip Hinchcliffe,Producer,22279
91343,Hal Hartley,Director,30157
5952,Ted Hope,Producer,30157
91343,Hal Hartley,Producer,30157
6159,Ron Howard,Director,568
30365,Michael Caton-Jones,Director,11780
70477,Richard Jackson,Producer,11780
70478,Peter Broughan,Producer,11780
39104,Abel Ferrara,Director,34996
71332,Fernando Sulichin,Producer,34996
1867336,Denis Hann,Producer,34996
5572,Joel Schumacher,Director,414
510,Tim Burton,Producer,414
5580,Peter Macgregor-Scott,Producer,414
793,Luis Buñuel,Director,649
9749,Henri Baum,Producer,649
9750,Raymond Hakim,Producer,649
9751,Robert Hakim,Producer,649
19665,John Boorman,Director,1873
19665,John Boorman,Producer,1873
19676,Eric Pleskow,Producer,1873
19677,Sean Ryerson,Producer,1873
14895,Barry Spikings,Producer,1873
46391,Paul Auster,Director,5894
39819,Wayne Wang,Director,5894
46399,Peter Newman,Producer,5894
21342,Diana Phillips,Producer,5894
46400,Hisami Kuroiwa,Producer,5894
46401,Francey Grace,Producer,5894
1319398,Greg Johnson,Producer,5894
17087,Michael Moore,Director,1775
11887,Brad Silberling,Director,8839
490,Colin Wilson,Producer,8839
5281,Spike Lee,Director,20649
136,Sam Mercer,Producer,10329
664,Frank Marshall,Director,10329
893,Tony Scott,Director,8963
5602,David Lynch,Producer,26564
17447,Terry Zwigoff,Director,26564
17447,Terry Zwigoff,Producer,26564
140993,Lynn O'Donnell,Producer,26564
2294,Robert Rodriguez,Producer,8068
57614,Bill Borden,Producer,8068
21712,Carl Franklin,Director,8512
21714,Jesse Beaton,Producer,8512
27098,Gary Goetzman,Producer,8512
1090,John McTiernan,Director,1572
1090,John McTiernan,Producer,1572
17630,Michael Tadross,Producer,1572
19224,Gregg Araki,Director,13552
19224,Gregg Araki,Producer,13552
22115,Andrea Sperling,Producer,13552
68774,Christopher Menaul,Director,259209
1181922,Henry Herbert,Producer,259209
1181923,Christopher Neame,Producer,259209
3415,Jerry Zucker,Director,6520
18350,Hunt Lowry,Producer,6520
1122033,Kathryn J. McDermott,Producer,6520
3415,Jerry Zucker,Producer,6520
14337,Jennie Lew Tugend,Producer,9073
7200,Lauren Shuler Donner,Producer,9073
56998,Dwight H. Little,Director,9073
1978,Iain Softley,Director,10428
2095,Ralph Winter,Producer,10428
59949,Michael Peyser,Producer,10428
159581,Victoria Maxwell,Producer,17447
252806,Christopher Ashley,Director,17447
948028,Mark Balsam,Producer,17447
1112106,Mitchell Maxwell,Producer,17447
8303,Don Carmody,Producer,9886
59997,Robert Longo,Director,9886
33279,Danny Cannon,Director,9482
57655,Charles Lippincott,Producer,9482
7713,Beau Marks,Producer,9482
61232,Tony Munafo,Producer,9482
1123815,Susan Nicoletti,Producer,9482
94753,Yoram Ben-Ami,Producer,19326
94757,Steven L. Bernstein,Producer,19326
58316,John Fortenberry,Director,19326
51917,Larry Clark,Director,9344
56904,Hilary Gilford,Producer,9071
6400,Tom DiCillo,Director,9071
31211,Clive Barker,Director,8973
31211,Clive Barker,Producer,8973
4770,JoAnne Sellar,Producer,8973
38516,Denys Arcand,Director,15730
42617,Antonia Bird,Director,47608
68901,David Manson,Producer,47608
20503,Scott Mosier,Producer,2293
7779,Sean Daniel,Producer,2293
7780,James Jacks,Producer,2293
19303,Kevin Smith,Director,2293
56899,Haim Saban,Producer,9070
42111,Bryan Spicer,Director,9070
44847,David Anspaugh,Director,68274
58384,Anthony Waller,Director,48787
66593,Amy Hobby,Producer,34574
5604,Mary Sweeney,Producer,34574
66594,Andrew Fierberg,Producer,34574
54469,Michael Almereyda,Director,34574
11472,Irwin Winkler,Director,1642
10965,Chris Columbus,Director,11472
10965,Chris Columbus,Producer,11472
11222,Mark Radcliffe,Producer,11472
17828,Michael Barnathan,Producer,11472
69527,Anne François,Producer,11472
56714,Daisy von Scherler Mayer,Director,36196
1383670,Harry Birckmayer,Producer,36196
2947,Georgia Kacandes,Producer,36196
1719110,Stephanie Koules,Producer,36196
18384,Joel Soisson,Producer,11980
28902,Gregory Widen,Director,11980
60476,Amy Kaufman,Producer,58372
26487,Norman René,Director,58372
16863,Todd Haynes,Director,32646
2862,Christine Vachon,Producer,32646
57605,Lauren Zalaznick,Producer,32646
8965,Roland Joffé,Director,10533
8965,Roland Joffé,Producer,10533
56967,Andrew G. Vajna,Producer,10533
10491,Paul Verhoeven,Director,10802
7726,Alan Marshall,Producer,10802
66876,Charles Evans,Producer,10802
63997,Kenzo Horikoshi,Producer,10149
12020,Anthea Sylbert,Producer,18402
5306,Lasse Hallström,Director,18402
49284,Frank Mancuso Jr.,Producer,9348
21370,Roger Donaldson,Director,9348
57396,Dennis Feldman,Producer,9348
408,James Keach,Director,139408
2093,Steven-Charles Jaffe,Producer,281
2710,James Cameron,Producer,281
14392,Kathryn Bigelow,Director,281
24882,Jacques Demy,Director,5967
26013,Mag Bodard,Producer,5967
26011,Gilbert de Goldschmidt,Producer,5967
17880,Wesley Strick,Director,79593
1637869,Susan Zachary,Producer,79593
816,John Morrissey,Producer,79593
4146,Patrick Markey,Producer,79593
24051,David Madden,Producer,79593
63713,Martha Coolidge,Director,47939
1128,Agnieszka Holland,Director,36834
1163054,Jean-Pierre Ramsay-Levi,Producer,36834
20237,Beeban Kidron,Director,9090
23226,G. Mac Brown,Producer,9090
32277,Geoff Murphy,Director,3512
4699,Steve Perry,Producer,3512
3092,Diane Keaton,Director,52856
588623,Douglas Keeve,Director,77350
22767,Alfonso Aráu,Director,9560
25455,Gil Netter,Producer,9560
12987,David Zucker,Producer,9560
1269,Kevin Costner,Producer,9804
2043,John Davis,Producer,9804
7681,Charles Gordon,Producer,9804
1093,Lawrence Gordon,Producer,9804
8300,Kevin Reynolds,Director,9804
73494,Desmond Nakano,Director,31611
1723,Walter Hill,Director,65796
17309,Greg Beeman,Director,26258
82796,Nikita Mikhalkov,Director,50797
82796,Nikita Mikhalkov,Producer,50797
70181,Michel Seydoux,Producer,50797
80690,Cat Villiers,Producer,19155
1016839,Cédomir Kolar,Producer,19155
1364800,Milčo Mančevski,Director,19155
1536988,Sam Taylor,Producer,19155
564,Richard Linklater,Director,76
566,Anne Walker-McBay,Producer,76
57691,Tamra Davis,Director,11017
43468,Guy Ferland,Director,37141
18378,Herbert Ross,Director,9382
1202,Steven Reuther,Producer,9382
18378,Herbert Ross,Producer,9382
2145,Mark Burg,Producer,6715
44990,Peter Horton,Director,6715
52309,Eric Eisner,Producer,6715
27991,Stuart Gordon,Director,18256
1177305,Maurizio Maggi,Producer,18256
19969,Pat O'Connor,Director,22625
1247079,Frank Price,Producer,22625
67065,Arlene Sellers,Producer,22625
67066,Alex Winitsky,Producer,22625
19303,Kevin Smith,Producer,2292
25210,Jeremy Leven,Director,1909
1776,Francis Ford Coppola,Producer,1909
3219,Fred Fuchs,Producer,1909
10829,Patrick J. Palmer,Producer,1909
8246,Barry Levinson,Director,8984
8246,Barry Levinson,Producer,8984
225065,René Bonnière,Director,61813
12847,Wallis Nicita,Producer,4954
39032,Lauren Lloyd,Producer,4954
40256,D.J. Caruso,Producer,4954
58154,Jack Baran,Director,62488
3556,Roman Polanski,Director,10531
65541,Josh Kramer,Producer,10531
4052,Thom Mount,Producer,10531
18596,Taylor Hackford,Producer,11929
3222,Charles Mulvehill,Producer,11929
18596,Taylor Hackford,Director,11929
7396,Peter Farrelly,Director,8467
7408,Charles B. Wessler,Producer,8467
7395,Bobby Farrelly,Director,8467
65356,Kong Hsu,Producer,10451
65357,Li-Kong Hsu,Producer,10451
56205,Atom Egoyan,Director,20156
1201,Garry Marshall,Director,18395
1201,Garry Marshall,Producer,18395
58103,Alexandra Rose,Producer,18395
510,Tim Burton,Director,522
1899,Denise Di Novi,Producer,522
1382732,Michael Flynn,Producer,522
8844,Lawrence Kasdan,Director,397
16329,Charles Okun,Producer,397
5344,Meg Ryan,Producer,397
7904,Billy Crystal,Director,10525
7904,Billy Crystal,Producer,10525
148119,Phillip Borsos,Director,27985
15775,Kevin Lima,Director,15789
56147,Paul Brizzi,Director,15789
1650800,Dan Rounds,Producer,15789
57090,Brett Leonard,Director,27303
64049,Gimel Everett,Producer,27303
87695,Carlo Carlei,Director,21183
33096,Paul Maslansky,Producer,21183
12631,Lata Ryan,Producer,21183
67794,Gérard Corbiau,Director,10954
41518,Véra Belmont,Producer,10954
1566166,Mark Lewis,Director,47867
129534,Art Clokey,Director,43475
97755,Charles Burnett,Director,72031
1295114,Thomas S. Byrnes,Producer,72031
1720073,Carolyn Schroeder,Producer,72031
122449,Steve James,Director,14275
15089,Jim Booth,Producer,1024
108,Peter Jackson,Director,1024
77121,Randall Miller,Director,17207
57851,Bernard Rose,Director,13701
32593,Steven Brill,Director,14819
1203,J. F. Lawton,Director,32631
36131,Carol Baum,Producer,11777
64061,Fred Schepisi,Director,11777
64061,Fred Schepisi,Producer,11777
9020,David Geffen,Producer,628
9021,Stephen Woolley,Producer,628
9022,Redmond Morris,Producer,628
17016,Neil Jordan,Director,628
54441,James Ivory,Director,87729
54448,Ismail Merchant,Producer,87729
73668,James Melkonian,Director,18713
8858,Ivan Reitman,Director,6280
8858,Ivan Reitman,Producer,6280
56872,Arne Glimcher,Director,9061
56872,Arne Glimcher,Producer,9061
738,Sean Connery,Producer,9061
65558,Lee Rich,Producer,9061
62043,Michael Gottlieb,Director,37108
23393,Barbet Schroeder,Producer,6071
1,George Lucas,Director,11
12401,Gary Kurtz,Producer,11
19801,Rick McCallum,Producer,11
58094,Gillian Armstrong,Director,9587
5162,Mark Johnson,Producer,19101
11218,Alfonso Cuarón,Director,19101
15488,Ken Loach,Director,49980
19069,Claude Chabrol,Director,17961
22767,Alfonso Aráu,Producer,18183
9181,Edward Zwick,Director,4476
9181,Edward Zwick,Producer,4476
9182,Marshall Herskovitz,Producer,4476
21864,William D. Wittliff,Producer,4476
58183,Michael I. Rachmil,Producer,11008
21378,Paul Webster,Producer,47504
20561,James Gray,Director,47504
83142,Carl Colpaert,Producer,32325
115312,Daniel Hassid,Producer,32325
58463,Glenn Gordon Caron,Director,43742
6449,Warren Beatty,Producer,43742
13017,Hawk Koch,Producer,28313
100388,Naomi Foner Gyllenhaal,Producer,28313
100391,Sharon Owyang,Producer,28313
15912,Stephen Gyllenhaal,Director,28313
20062,David Parfitt,Producer,11318
55476,Nicholas Hytner,Director,11318
10295,James V. Hart,Producer,3036
29856,John Veitch,Producer,3036
27444,James Orr,Director,40490
2707,Paul Junger Witt,Producer,24070
2708,Tony Thomas,Producer,24070
9248,Nora Ephron,Director,24070
59970,Joseph Hartwick,Producer,24070
24318,Richard Benjamin,Director,8986
16154,Michael Finnell,Producer,8986
56911,Les Mayfield,Director,10510
11505,John Hughes,Producer,10510
5065,David Frankel,Director,17402
16395,Gregory Nava,Director,38722
54971,Marc Rocco,Director,8438
6729,Robert Benton,Director,11593
70190,Arlene Donovan,Producer,11593
10781,Michael Apted,Director,1945
20168,Renée Missel,Producer,1945
20169,Graham Place,Producer,1945
17278,Nick Gomez,Director,39310
36187,Bob Gosse,Producer,39310
36188,Larry Meistrich,Producer,39310
129957,Tōru Murakawa,Director,109560
70905,Vadim Jean,Director,56428
63937,Albert Pyun,Director,63105
131792,Alan Jacobs,Director,131957
3182,Jane Hamsher,Producer,241
3183,Don Murphy,Producer,241
3184,Clayton Townsend,Producer,241
13563,Norman Jewison,Director,9058
54797,Robert N. Fried,Producer,9058
13563,Norman Jewison,Producer,9058
7256,Lee Tamahori,Director,527
7259,Robin Scholes,Producer,527
2873,Anne Goursaud,Director,18220
5231,Wolfgang Petersen,Director,6950
5231,Wolfgang Petersen,Producer,6950
59,Luc Besson,Director,101
60,Patrice Ledoux,Producer,101
6495,Mira Nair,Director,63020
38804,Lydia Dean Pilcher,Producer,63020
2948,Michael Nozik,Producer,63020
23757,Joshua Brand,Director,2307
16214,Mario Van Peebles,Director,41478
380,Robert De Niro,Producer,41478
66129,George Faber,Producer,40156
4135,Robert Redford,Director,11450
69138,Michael Jacobs,Producer,11450
1247139,Julian Krainin,Producer,11450
4135,Robert Redford,Producer,11450
994323,Kayo Hatta,Director,30304
1593544,Lisa Onodera,Producer,30304
23724,Patrice Chéreau,Director,10452
7623,Sam Raimi,Director,12106
57439,Allen Shapiro,Producer,12106
71262,Joshua Donen,Producer,12106
12804,Peter Yates,Director,161495
9789,Robert Altman,Director,3586
9789,Robert Altman,Producer,3586
1126,Krzysztof Kieślowski,Director,110
1134,Marin Karmitz,Producer,110
77305,He Ping,Director,159185
45642,Fred Gerber,Director,36357
133793,George Mihalka,Director,92769
1524,Harold Ramis,Director,28033
107274,Richard Rich,Director,22586
1613338,Jared F. Brown,Producer,22586
102445,John Sayles,Director,14334
16398,Sarah Green,Producer,14334
20835,Maggie Renzi,Producer,14334
26648,Luis Llosa,Director,2636
1888,Jerry Weintraub,Producer,2636
6046,Roland Emmerich,Director,2164
6046,Roland Emmerich,Producer,2164
8676,Dean Devlin,Producer,2164
20908,Jeffrey Silver,Producer,11395
56644,Brian Reilly,Producer,11395
58072,John Pasquin,Director,11395
4027,Frank Darabont,Director,278
4028,Niki Marvin,Producer,278
2034,Danny Boyle,Director,9905
2035,Andrew Macdonald,Producer,9905
101444,Scott McGehee,Director,87078
101446,David Siegel,Director,87078
101444,Scott McGehee,Producer,87078
101446,David Siegel,Producer,87078
72646,Tomás Gutiérrez Alea,Director,12527
72647,Juan Carlos Tabío,Director,12527
57028,George Huang,Director,20306
91499,Kevin Dowling,Director,36614
72629,Geoff Burton,Director,36614
64030,Kelly Makin,Director,27993
56891,Rachel Talalay,Director,9067
56892,Tom Astor,Producer,9067
2185,John Watson,Producer,9067
2182,Pen Densham,Producer,9067
15521,Ernest R. Dickerson,Director,9059
10953,Gilbert Adler,Producer,9059
1214380,A L Katz,Producer,9059
21548,Richard Edlund,Producer,9059
2380,David Carson,Director,193
2381,Rick Berman,Producer,193
2383,Peter Lauritson,Producer,193
141825,Rusty Cundieff,Director,25066
57777,Darin Scott,Producer,25066
58080,Brian Gilbert,Director,46797
353604,Harvey Kass,Producer,46797
11770,John Carpenter,Director,12122
27581,Sandy King,Producer,12122
71343,Michael Preger,Producer,12122
13426,Peter Segal,Director,11381
56158,Lorne Michaels,Producer,11381
15389,Louis Malle,Director,32636
72584,Fred Berner,Producer,32636
1884,Steven Soderbergh,Director,36141
6341,John Hardy,Producer,36141
76705,Preston A. Whitmore II,Director,95963
3953,Gary Lucchesi,Producer,9271
12962,Jon Turteltaub,Director,2064
18311,Joe Roth,Producer,2064
58408,Jordan Kerner,Producer,19855
85276,Deborah Love,Producer,19855
85277,Kathy McWorter,Producer,19855
1230367,Mina Shum,Director,60855
