crew_id,name,job,tmdbId
7879,John Lasseter,Director,862
12894,Bonnie Arnold,Producer,862
12896,Ralph Guggenheim,Producer,862
4945,Joe Johnston,Director,8844
9184,Scott Kroopf,Producer,8844
42357,William Teitler,Producer,8844
26502,Howard Deutch,Director,15602
2178,Forest Whitaker,Director,31357
5144,Ronald Bass,Producer,31357
21968,Ezra Swerdlow,Producer,31357
70592,Deborah Schindler,Producer,31357
1087695,Caron K,Producer,31357
17698,Nancy Meyers,Producer,11862
56106,Charles Shyer,Director,11862
638,Michael Mann,Director,949
1254,Art Linson,Producer,949
638,Michael Mann,Producer,949
2226,Sydney Pollack,Director,11860
2226,Sydney Pollack,Producer,11860
2997,Scott Rudin,Producer,11860
18357,Peter Hewitt,Director,45325
37710,Peter Hyams,Director,9091
56032,Moshe Diamant,Producer,9091
56954,Anders P. Jensen,Producer,9091
53299,Howard Baldwin,Producer,9091
10702,Martin Campbell,Director,710
10666,Barbara Broccoli,Producer,710
69678,Michael G. Wilson,Producer,710
10706,Anthony Waye,Producer,710
3026,Rob Reiner,Director,9087
3026,Rob Reiner,Producer,9087
14639,Mel Brooks,Director,12110
14639,Mel Brooks,Producer,12110
488,Steven Spielberg,Producer,21032
489,Kathleen Kennedy,Producer,21032
21879,Simon Wells,Director,21032
1152,Oliver Stone,Director,10858
5379,Dan Halsted,Producer,10858
1152,Oliver Stone,Producer,10858
7228,Joel B. Michaels,Producer,1408
10685,Laurence Mark,Producer,1408
16938,Renny Harlin,Director,1408
16938,Renny Harlin,Producer,1408
22706,James Gorman,Producer,1408
1032,Martin Scorsese,Director,524
7170,Barbara De Fina,Producer,524
7531,Joseph P. Reidy,Producer,524
1614,Ang Lee,Director,4584
11058,Lindsay Doran,Producer,4584
3110,Allison Anders,Director,5
3111,Alexandre Rockwell,Director,5
2294,Robert Rodriguez,Director,5
138,Quentin Tarantino,Director,5
2545,Lawrence Bender,Producer,5
4489,Steve Oedekerk,Director,9273
57097,Bob Israel,Producer,9273
57098,Andrew G. La Marca,Producer,9273
4700,James G. Robinson,Producer,9273
52629,Joseph Ruben,Director,11517
