genre_id,genre_name,tmdbId
16,Animation,862
35,Comedy,862
10751,Family,862
12,Adventure,8844
14,Fantasy,8844
10751,Family,8844
10749,Romance,15602
35,Comedy,15602
35,Comedy,31357
18,Drama,31357
10749,Romance,31357
35,Comedy,11862
28,Action,949
80,Crime,949
18,Drama,949
53,Thriller,949
35,Comedy,11860
10749,Romance,11860
28,Action,45325
12,Adventure,45325
18,Drama,45325
10751,Family,45325
28,Action,9091
12,Adventure,9091
53,Thriller,9091
12,Adventure,710
28,Action,710
53,Thriller,710
35,Comedy,9087
18,Drama,9087
10749,Romance,9087
35,Comedy,12110
27,Horror,12110
10751,Family,21032
16,Animation,21032
12,Adventure,21032
36,History,10858
18,Drama,10858
28,Action,1408
12,Adventure,1408
18,Drama,524
80,Crime,524
18,Drama,4584
10749,Romance,4584
80,Crime,5
35,Comedy,5
80,Crime,9273
35,Comedy,9273
12,Adventure,9273
28,Action,11517
35,Comedy,11517
80,Crime,11517
35,Comedy,8012
53,Thriller,8012
80,Crime,8012
18,Drama,1710
53,Thriller,1710
28,Action,9691
12,Adventure,9691
80,Crime,9691
53,Thriller,9691
18,Drama,12665
14,Fantasy,12665
878,Science Fiction,12665
53,Thriller,12665
18,Drama,451
10749,Romance,451
18,Drama,16420
35,Comedy,9263
18,Drama,9263
10751,Family,9263
18,Drama,17015
10749,Romance,17015
14,Fantasy,902
878,Science Fiction,902
12,Adventure,902
18,Drama,37557
80,Crime,37557
18,Drama,9909
80,Crime,9909
878,Science Fiction,63
53,Thriller,63
9648,Mystery,63
10749,Romance,78802
12,Adventure,78802
14,Fantasy,9598
18,Drama,9598
35,Comedy,9598
10751,Family,9598
36,History,47018
18,Drama,47018
10749,Romance,47018
18,Drama,687
12,Adventure,139405
36,History,139405
18,Drama,139405
10751,Family,139405
35,Comedy,33689
10751,Family,33689
10749,Romance,33689
35,Comedy,9603
18,Drama,9603
10749,Romance,9603
18,Drama,34615
18,Drama,31174
10752,War,31174
28,Action,11443
80,Crime,11443
18,Drama,11443
36,History,11443
18,Drama,35196
10749,Romance,35196
28,Action,9312
14,Fantasy,9312
14,Fantasy,577
18,Drama,577
35,Comedy,577
53,Thriller,577
18,Drama,11861
10749,Romance,11861
80,Crime,807
9648,Mystery,807
53,Thriller,807
12,Adventure,10530
16,Animation,10530
18,Drama,10530
10751,Family,10530
18,Drama,8391
10749,Romance,8391
18,Drama,629
80,Crime,629
53,Thriller,629
28,Action,117164
53,Thriller,117164
18,Drama,117164
35,Comedy,11448
10749,Romance,11448
18,Drama,49133
10769,Foreign,49133
28,Action,26441
12,Adventure,26441
35,Comedy,26441
10751,Family,26441
18,Drama,97406
35,Comedy,9089
18,Drama,9089
10749,Romance,9089
35,Comedy,11010
18,Drama,11010
10749,Romance,11010
53,Thriller,99040
18,Drama,99040
9648,Mystery,99040
12,Adventure,11359
10751,Family,11359
14,Fantasy,11359
18,Drama,17182
53,Thriller,17182
10402,Music,2054
18,Drama,2054
10751,Family,2054
35,Comedy,10607
35,Comedy,19760
10749,Romance,19760
35,Comedy,9536
28,Action,11525
878,Science Fiction,11525
18,Drama,40628
10751,Family,40628
35,Comedy,4482
10749,Romance,4482
35,Comedy,10634
27,Horror,755
28,Action,755
53,Thriller,755
80,Crime,755
28,Action,11859
53,Thriller,11859
10749,Romance,11859
35,Comedy,28387
18,Drama,28387
10749,Romance,28387
18,Drama,48750
36,History,48750
18,Drama,20927
10749,Romance,20927
35,Comedy,36929
10751,Family,36929
27,Horror,9102
878,Science Fiction,9102
99,Documentary,124626
